objectid,filename,title,date,description,rating,runtime,topactors,director,genre,subject,format,language
godfather3_1990,godfather3_1990.jpg,The Godfather Part III,1990,"Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.",R,2h 42m,Al Pacino; Diane Keaton; Andy Garcia,Francis Ford Coppola,Crime; Drama,DVD,image/jpeg,eng
reservoirdogs_1992,reservoirdogs_1992.jpg,Reservoir Dogs,1992,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",R,1h 39m,Harvey Keitel; Tim Roth; Michael Madsen,Quentin Tarantino,Crime; Thriller,Blu-ray,image/jpeg,eng
trueromance_1993,trueromance_1993.jpg,True Romance,1993,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",R,1h 59m,Christian Slater; Patricia Arquette; Dennis Hopper,Tony Scott,Crime; Drama; Romance,Blu-ray,image/jpeg,eng
pulpfiction_1994,pulpfiction_1994.jpg,Pulp Fiction,1994,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",R,2h 34m,John Travolta; Uma Thurman; Samuel L. Jackson,Quentin Tarantino,Crime; Drama,Blu-ray,image/jpeg,eng
jackiebrown_1997,jackiebrown_1997.jpg,Jackie Brown,1997,"A flight attendant with a criminal past gets nabbed by the ATF for smuggling. Under pressure to become an informant against the drug dealer she works for, she must find a way to secure her future without getting killed.",R,2h 34m,Pam Grier; Samuel L. Jackson; Robert Forster,Quentin Tarantino,Crime; Drama; Thriller,Blu-ray,image/jpeg,eng
killbill1_2003,killbill1_2003.jpg,Kill Bill: Vol. 1,2003,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",R,1h 51m,Uma Thurman; David Carradine; Daryl Hannah,Quentin Tarantino,Action; Crime; Drama,Blu-ray,image/jpeg,eng
killbill2_2004,killbill2_2004.jpg,Kill Bill: Vol. 2,2004,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",R,2h 17m,Uma Thurman; David Carradine; Michael Madsen,Quentin Tarantino,Action; Crime; Thriller,Blu-ray,image/jpeg,eng
deathproof_2007,deathproof_2007.jpg,Death Proof,2007,"Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans.",R,2h 7m,Kurt Russell; Zoe Bell; Rosario Dawson,Quentin Tarantino,Action; Thriller,Blu-ray,image/jpeg,eng
inglouriousbasterds_2009,inglouriousbasterds_2009.jpg,Inglourious Basterds,2009,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",R,2h 33m,Brad Pitt; Christoph Waltz; Michael Fassbender,Quentin Tarantino,Adventure; Drama; War,Blu-ray,image/jpeg,eng
starwars1_1999,starwars1_1999.jpg,Star Wars: Episode I - The Phantom Menace,1999,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.",PG,2h 16m,Ewan McGregor; Liam Neeson; Natalie Portman,George Lucas,Action; Adventure; Fantasy,Blu-ray,image/jpeg,eng
starwars2_2002,starwars2_2002.jpg,Star Wars: Episode II - Attack of the Clones,2002,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.",PG,2h 22m,Hayden Christensen; Natalie Portman; Ewan McGregor,George Lucas,Action; Adventure; Fantasy,Blu-ray,image/jpeg,eng
starwars3_2005,starwars3_2005.jpg,Star Wars: Episode III - Revenge of the Sith,2005,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",PG-13,2h 20m,Hayden Christensen; Natalie Portman; Ewan McGregor,George Lucas,Action; Adventure; Fantasy,Blu-ray,image/jpeg,eng
starwars4_1977,starwars4_1977.jpg,Star Wars: Episode IV - A New Hope,1977,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",PG,2h 1m,Mark Hamill; Harrison Ford; Carrie Fisher,George Lucas,Action; Adventure; Fantasy,Blu-ray,image/jpeg,eng
starwars5_1980,starwars5_1980.jpg,Star Wars: Episode V - The Empire Strikes Back,1980,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",PG,2h 4m,Mark Hamill; Harrison Ford; Carrie Fisher,Irvin Kershner,Action; Adventure; Fantasy,Blu-ray,image/jpeg,eng
starwars6_1983,starwars6_1983.jpg,Star Wars: Episode VI - Return of the Jedi,1983,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",PG,2h 11m,Mark Hamill; Harrison Ford; Carrie Fisher,Richard Marquand,Action; Adventure; Fantasy,Blu-ray,image/jpeg,eng
starwars7_2015,starwars7_2015.jpg,Star Wars: Episode VII - The Force Awakens,2015,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",PG-13,2h 18m,Daisy Ridley; John Boyega; Oscar Isaac,J.J. Abrams,Action; Adventure; Fantasy,Blu-ray,image/jpeg,eng
starwars8_2017,starwars8_2017.jpg,Star Wars: Episode VIII - The Last Jedi,2017,"The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past.",PG-13,2h 32m,Daisy Ridley; John Boyega; Mark Hamill,Rian Johnson,Action; Adventure; Fantasy,Blu-ray,image/jpeg,eng
starwars9_2018,starwars9_2018.jpg,Star Wars: Episode IX - The Rise of Skywalker,2019,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.",PG-13,2h 21m,Daisy Ridley; John Boyega; Oscar Isaac,J.J. Abrams,Action; Adventure; Fantasy,Blu-ray,image/jpeg,eng
